school,team,city,state,state_abbr,type,conference,division
University of St. Francis,Fighting Saints,Joliet,Illinois,IL,,Chicagoland Collegiate Athletic Conference,NAIA II
Saint Xavier University,Cougars,Chicago,Illinois,IL,,Chicagoland Collegiate Athletic Conference,NAIA II
Trinity Christian College,Trolls,Palos Heights,Illinois,IL,,Chicagoland Collegiate Athletic Conference,NAIA II
Trinity International University,Trojans,Deerfield,Illinois,IL,,Chicagoland Collegiate Athletic Conference,NAIA II
Ball State University,Cardinals,Muncie,Indiana,IN,State,Mid-American Conference,D1
Butler University,Bulldogs,Indianapolis,Indiana,IN,Private/Non-Sectarian,Big East Conference,D1
University of Evansville,Purple Aces,Evansville,Indiana,IN,Private/Methodist,Missouri Valley Conference,D1
Indiana University,Hoosiers,Bloomington,Indiana,IN,State,Big Ten Conference,D1
Indiana State University,Sycamores,Terre Haute,Indiana,IN,State,Missouri Valley Conference,D1
Indiana University – Purdue University Fort Wayne,Mastodons,Fort Wayne,Indiana,IN,State,The Summit League,D1
Indiana University – Purdue University Indianapolis,Jaguars,Indianapolis,Indiana,IN,State,The Summit League,D1
University of Notre Dame,Fighting Irish,South Bend,Indiana,IN,Private/Catholic,Atlantic Coast Conference,D1
Purdue University,Boilermakers,West Lafayette,Indiana,IN,State,Big Ten Conference,D1
Valparaiso University,Crusaders,Valparaiso,Indiana,IN,Private/Lutheran,Horizon League,D1
University of Indianapolis,Greyhounds,Indianapolis,Indiana,IN,,Great Lakes Valley Conference,D2
Oakland City University,Mighty Oaks,Oakland City,Indiana,IN,,Independent,D2
Saint Joseph's College,Pumas,Rensselaer,Indiana,IN,,Great Lakes Valley Conference,D2
University of Southern Indiana,Screaming Eagles,Evansville,Indiana,IN,,Great Lakes Valley Conference,D2
Anderson University,Ravens and Lady Ravens,Anderson,Indiana,IN,,Heartland Collegiate Athletic Conference,D3
DePauw University,Tigers,Greencastle,Indiana,IN,,North Coast Athletic Conference,D3
Earlham College,Quakers,Richmond,Indiana,IN,,Heartland Collegiate Athletic Conference,D3
Franklin College,Grizzlies,Franklin,Indiana,IN,,Heartland Collegiate Athletic Conference,D3
Hanover College,Panthers,Hanover,Indiana,IN,,Heartland Collegiate Athletic Conference,D3
Manchester University,Spartans,North Manchester,Indiana,IN,,Heartland Collegiate Athletic Conference,D3
Rose-Hulman Institute of Technology,Engineers,Terre Haute,Indiana,IN,,Heartland Collegiate Athletic Conference,D3
Saint Mary's College,Belles,Notre Dame,Indiana,IN,,Michigan Intercollegiate Athletic Association,D3
Trine University,Thunder,Angola,Indiana,IN,,Michigan Intercollegiate Athletic Association,D3
Wabash College,Little Giants,Crawfordsville,Indiana,IN,,North Coast Athletic Conference,D3
Bethel College (IN),Pilots,Mishawaka,Indiana,IN,,Crossroads League,NAIA II
Calumet College of St. Joseph,Crimson Wave,Whiting,Indiana,IN,,Chicagoland Collegiate Athletic Conference,NAIA II
Goshen College,Maple Leafs,Goshen,Indiana,IN,,Crossroads League,NAIA II
Grace College & Seminary,Lancers,Winona Lake,Indiana,IN,,Crossroads League,NAIA II
Holy Cross College,Saints,Notre Dame,Indiana,IN,,Chicagoland Collegiate Athletic Conference,NAIA II
Huntington University,Foresters,Huntington,Indiana,IN,,Crossroads League,NAIA II
Indiana Institute of Technology,Warriors,Fort Wayne,Indiana,IN,,Wolverine–Hoosier Athletic Conference,NAIA II
Indiana Wesleyan University,Wildcats,Marion,Indiana,IN,,Crossroads League,NAIA II
Indiana University East,Red Wolves,Richmond,Indiana,IN,,River States Conference,NAIA II
Indiana University Kokomo,Cougars,Kokomo,Indiana,IN,,River States Conference,NAIA II
Indiana University Northwest,Redhawks,Gary,Indiana,IN,,Association of Independent Institutions,NAIA II
Indiana University South Bend,Titans,South Bend,Indiana,IN,,Chicagoland Collegiate Athletic Conference,NAIA II
Indiana University Southeast,Grenadiers,New Albany,Indiana,IN,,River States Conference,NAIA II
Marian University,Knights,Indianapolis,Indiana,IN,,Crossroads League,NAIA II
Purdue University Northwest,Peregrines,Hammond,Indiana,IN,,Chicagoland Collegiate Athletic Conference,NAIA II
University of Saint Francis,Cougars,Fort Wayne,Indiana,IN,,Crossroads League,NAIA II
Taylor University,Trojans,Upland,Indiana,IN,,Crossroads League,NAIA II
Drake University,Bulldogs,Des Moines,Iowa,IA,Private/Non-sectarian,Missouri Valley Conference,D1
University of Iowa,Hawkeyes,Iowa City,Iowa,IA,State,Big Ten Conference,D1
Iowa State University,Cyclones,Ames,Iowa,IA,State,Big 12 Conference,D1
University of Northern Iowa,Panthers,Cedar Falls,Iowa,IA,State,Missouri Valley Conference,D1
Upper Iowa University,Peacocks,Fayette,Iowa,IA,,Northern Sun Intercollegiate Conference,D2
Buena Vista University,Beavers,Storm Lake,Iowa,IA,,Iowa Intercollegiate Athletic Conference,D3
Central College,Dutch,Pella,Iowa,IA,,Iowa Intercollegiate Athletic Conference,D3
Coe College,Kohawks,Cedar Rapids,Iowa,IA,,Iowa Intercollegiate Athletic Conference,D3
Cornell College,Rams,Mount Vernon,Iowa,IA,,Midwest Conference,D3
University of Dubuque,Spartans,Dubuque,Iowa,IA,,Iowa Intercollegiate Athletic Conference,D3
Grinnell College,Pioneers,Grinnell,Iowa,IA,,Midwest Conference,D3
Iowa Wesleyan College,Tigers,Mt. Pleasant,Iowa,IA,,St. Louis Intercollegiate Athletic Conference,D3
Loras College,Duhawks,Dubuque,Iowa,IA,,Iowa Intercollegiate Athletic Conference,D3
Luther College,Norse,Decorah,Iowa,IA,,Iowa Intercollegiate Athletic Conference,D3
Simpson College,Storm,Indianola,Iowa,IA,,Iowa Intercollegiate Athletic Conference,D3
Wartburg College,Knights,Waverly,Iowa,IA,,Iowa Intercollegiate Athletic Conference,D3
Briar Cliff University,Chargers,Sioux City,Iowa,IA,,Great Plains Athletic Conference,NAIA II
Clarke University,Crusaders,Dubuque,Iowa,IA,,Heart of America Athletic Conference,NAIA I
Dordt College,Defenders,Sioux Center,Iowa,IA,,Great Plains Athletic Conference,NAIA II
Graceland University,Yellowjackets,Lamoni,Iowa,IA,,Heart of America Athletic Conference,NAIA I
Grand View University,Vikings,Des Moines,Iowa,IA,,Heart of America Athletic Conference,NAIA I
Morningside College,Mustangs,Sioux City,Iowa,IA,,Great Plains Athletic Conference,NAIA II
Mount Mercy University,Mustangs,Cedar Rapids,Iowa,IA,,Heart of America Athletic Conference,NAIA I
Northwestern College,Red Raiders,Orange City,Iowa,IA,,Great Plains Athletic Conference,NAIA II
St. Ambrose University,Fighting Bees & Queen Bees,Davenport,Iowa,IA,,Chicagoland Collegiate Athletic Conference,NAIA II
Waldorf College,Warriors,Forest City,Iowa,IA,,North Star Athletic Association,NAIA II
William Penn University,Statesmen & Lady Statesmen,Oskaloosa,Iowa,IA,,Heart of America Athletic Conference,NAIA I
University of Kansas,Jayhawks,Lawrence,Kansas,KS,State,Big 12 Conference,D1
Kansas State University,Wildcats,Manhattan,Kansas,KS,State,Big 12 Conference,D1
Wichita State University,Shockers,Wichita,Kansas,KS,State,Missouri Valley Conference,D1
Emporia State University,Hornets,Emporia,Kansas,KS,,Mid-America Intercollegiate Athletics Association,D2
Fort Hays State University,Tigers,Hays,Kansas,KS,,Mid-America Intercollegiate Athletics Association,D2
Newman University,Jets,Wichita,Kansas,KS,,Heartland Conference,D2
Pittsburg State University,Gorillas,Pittsburg,Kansas,KS,,Mid-America Intercollegiate Athletics Association,D2
Washburn University,Ichabods,Topeka,Kansas,KS,,Mid-America Intercollegiate Athletics Association,D2
Baker University,Wildcats,Baldwin City,Kansas,KS,,Heart of America Athletic Conference,NAIA I
Benedictine College,Ravens,Atchison,Kansas,KS,,Heart of America Athletic Conference,NAIA I
Bethany College,Terrible Swedes,Lindsborg,Kansas,KS,,Kansas Collegiate Athletic Conference,NAIA II
Bethel College (KS),Threshers,North Newton,Kansas,KS,,Kansas Collegiate Athletic Conference,NAIA II
Central Christian College of Kansas,Tigers,McPherson,Kansas,KS,,Association of Independent Institutions,NAIA II
Friends University,Falcons,Wichita,Kansas,KS,,Kansas Collegiate Athletic Conference,NAIA II
Haskell Indian Nations University,Indians,Lawrence,Kansas,KS,,Association of Independent Institutions,NAIA II
Kansas Wesleyan University,Coyotes,Salina,Kansas,KS,,Kansas Collegiate Athletic Conference,NAIA II
McPherson College,Bulldogs,McPherson,Kansas,KS,,Kansas Collegiate Athletic Conference,NAIA II
MidAmerica Nazarene University,Pioneers,Olathe,Kansas,KS,,Heart of America Athletic Conference,NAIA I
Ottawa University,Braves,Ottawa,Kansas,KS,,Kansas Collegiate Athletic Conference,NAIA II
University of Saint Mary,Spires,Leavenworth,Kansas,KS,,Kansas Collegiate Athletic Conference,NAIA II
Southwestern College,Moundbuilders,Winfield,Kansas,KS,,Kansas Collegiate Athletic Conference,NAIA II
Sterling College,Warriors,Sterling,Kansas,KS,,Kansas Collegiate Athletic Conference,NAIA II
Tabor College,Bluejays,Hillsboro,Kansas,KS,,Kansas Collegiate Athletic Conference,NAIA II
Eastern Kentucky University,Colonels,Richmond,Kentucky,KY,State,Ohio Valley Conference,D1
University of Kentucky,Wildcats,Lexington,Kentucky,KY,State,Southeastern Conference,D1
University of Louisville,Cardinals,Louisville,Kentucky,KY,State,Atlantic Coast Conference,D1
Morehead State University,Eagles,Morehead,Kentucky,KY,State,Ohio Valley Conference,D1
Murray State University,Racers[A 18],Murray,Kentucky,KY,State,Ohio Valley Conference,D1
Northern Kentucky University,Norse,Highland Heights,Kentucky,KY,State,Horizon League,D1
Western Kentucky University,Hilltoppers and Lady Toppers,Bowling Green,Kentucky,KY,State,Conference USA,D1
Bellarmine University,Knights,Louisville,Kentucky,KY,,Great Lakes Valley Conference,D2
Kentucky State University,Thorobreds & Thorobrettes,Frankfort,Kentucky,KY,,Southern Intercollegiate Athletic Conference,D2
Kentucky Wesleyan College,Panthers,Owensboro,Kentucky,KY,,Great Midwest Athletic Conference,D2
Berea College,Mountaineers,Berea,Kentucky,KY,,"Independent
(USA South Athletic Conference in 2017)",D3
Centre College,Colonels,Danville,Kentucky,KY,,Southern Athletic Association,D3
Spalding University,Golden Eagles,Louisville,Kentucky,KY,,St. Louis Intercollegiate Athletic Conference,D3
Thomas More College,Saints,Crestview Hills,Kentucky,KY,,Presidents' Athletic Conference,D3
Transylvania University,Pioneers,Lexington,Kentucky,KY,,Heartland Collegiate Athletic Conference,D3
Alice Lloyd College,Eagles,Pippa Passes,Kentucky,KY,,River States Conference,NAIA II
Asbury University,Eagles,Wilmore,Kentucky,KY,,River States Conference,NAIA II
Brescia University,Bearcats,Owensboro,Kentucky,KY,,River States Conference,NAIA II
Campbellsville University,Tigers,Campbellsville,Kentucky,KY,,Mid-South Conference,NAIA I
University of the Cumberlands,Patriots,Williamsburg,Kentucky,KY,,Mid-South Conference,NAIA I
Georgetown College,Tigers,Georgetown,Kentucky,KY,,Mid-South Conference,NAIA I
Kentucky Christian University,Knights,Grayson,Kentucky,KY,,Association of Independent Institutions,NAIA II
Lindsey Wilson College,Blue Raiders,Columbia,Kentucky,KY,,Mid-South Conference,NAIA I
Midway University,Eagles,Midway,Kentucky,KY,,River States Conference,NAIA II
University of Pikeville,Bears,Pikeville,Kentucky,KY,,Mid-South Conference,NAIA I
Union College,Bulldogs,Barbourville,Kentucky,KY,,Appalachian Athletic Conference,NAIA II
Grambling State University,Tigers and Lady Tigers,Grambling,Louisiana,LA,State,Southwestern Athletic Conference,D1
University of Louisiana at Lafayette,Ragin' Cajuns,Lafayette,Louisiana,LA,State,Sun Belt Conference,D1
University of Louisiana at Monroe,Warhawks,Monroe,Louisiana,LA,State,Sun Belt Conference,D1
Louisiana State University,Tigers and Lady Tigers[A 11],Baton Rouge,Louisiana,LA,State,Southeastern Conference,D1
Louisiana Tech University,Bulldogs and Lady Techsters,Ruston,Louisiana,LA,State,Conference USA,D1
McNeese State University,Cowboys and Cowgirls,Lake Charles,Louisiana,LA,State,Southland Conference,D1
University of New Orleans,Privateers,New Orleans,Louisiana,LA,State,Southland Conference,D1
Nicholls State University,Colonels,Thibodaux,Louisiana,LA,State,Southland Conference,D1
Northwestern State University,Demons and Lady Demons,Natchitoches,Louisiana,LA,State,Southland Conference,D1
Southeastern Louisiana University,Lions and Lady Lions,Hammond,Louisiana,LA,State,Southland Conference,D1
Southern University,Jaguars and Lady Jaguars,Baton Rouge,Louisiana,LA,State,Southwestern Athletic Conference,D1
Tulane University,Green Wave,New Orleans,Louisiana,LA,Private/Non-Sectarian,American Athletic Conference,D1
Centenary College of Louisiana,Gents and Ladies,Shreveport,Louisiana,LA,,Southern Collegiate Athletic Conference,D3
Louisiana College,Wildcats,Pineville,Louisiana,LA,,American Southwest Conference,D3
Dillard University,Blue Devils,New Orleans,Louisiana,LA,,Gulf Coast Athletic Conference,NAIA I
Louisiana State University at Alexandria,Generals,Alexandria,Louisiana,LA,,Red River Athletic Conference,NAIA I
Louisiana State University in Shreveport,Pilots & Lady Pilots,Shreveport,Louisiana,LA,,Red River Athletic Conference,NAIA I
Loyola University New Orleans,Wolfpack,New Orleans,Louisiana,LA,,Southern States Athletic Conference,NAIA I
Southern University at New Orleans,Black Knights,New Orleans,Louisiana,LA,,Gulf Coast Athletic Conference,NAIA I
Xavier University of Louisiana,Gold Rush & Gold Nuggets,New Orleans,Louisiana,LA,,Gulf Coast Athletic Conference,NAIA I
University of Maine,Black Bears,Orono,Maine,ME,State,America East Conference,D1
Bates College,Bobcats,Lewiston,Maine,ME,,New England Small College Athletic Conference,D3
Bowdoin College,Polar Bears,Brunswick,Maine,ME,,New England Small College Athletic Conference,D3
Colby College,White Mules,Waterville,Maine,ME,,New England Small College Athletic Conference,D3
Husson University,Eagles,Bangor,Maine,ME,,North Atlantic Conference,D3
University of Maine at Farmington,Beavers,Farmington,Maine,ME,,North Atlantic Conference,D3
Maine Maritime Academy,Mariners,Castine,Maine,ME,,North Atlantic Conference,D3
University of Maine at Presque Isle,Owls,Presque Isle,Maine,ME,,Independent,D3
University of New England,Nor'easters,Biddeford,Maine,ME,,The Commonwealth Coast Conference,D3
Saint Joseph's College of Maine,Monks,Standish,Maine,ME,,Great Northeast Athletic Conference,D3
University of Southern Maine,Huskies,Portland,Maine,ME,,Little East Conference,D3
Thomas College,Terriers,Waterville,Maine,ME,,North Atlantic Conference,D3
University of Winnipeg,Wesmen,Winnipeg,Manitoba,,,Association of Independent Institutions,–
Coppin State University,Eagles,Baltimore,Maryland,MD,State,Mid-Eastern Athletic Conference,D1
Loyola University Maryland,Greyhounds,Baltimore,Maryland,MD,Private/Catholic,Patriot League,D1
"University of Maryland, Baltimore County",Retrievers,Catonsville,Maryland,MD,State,America East Conference,D1
"University of Maryland, College Park",Terrapins,College Park,Maryland,MD,State,Big Ten Conference,D1
University of Maryland Eastern Shore,Hawks and Lady Hawks,Princess Anne,Maryland,MD,State,Mid-Eastern Athletic Conference,D1
Morgan State University,Bears and Lady Bears,Baltimore,Maryland,MD,State,Mid-Eastern Athletic Conference,D1
Mount St. Mary's University,Mountaineers,Emmitsburg,Maryland,MD,Private/Catholic,Northeast Conference,D1
Towson University,Tigers,Towson,Maryland,MD,State,Colonial Athletic Association,D1
United States Naval Academy (Navy),Midshipmen,Annapolis,Maryland,MD,Federal academy,Patriot League,D1
Bowie State University,Bulldogs,Bowie,Maryland,MD,,Central Intercollegiate Athletic Association,D2
Frostburg State University,Bobcats,Frostburg,Maryland,MD,,Capital Athletic Conference,D3
Goucher College,Gophers,Towson,Maryland,MD,,Landmark Conference,D3
Hood College,Blazers,Frederick,Maryland,MD,,MAC Commonwealth Conference,D3
Johns Hopkins University[A 10],Blue Jays,Baltimore,Maryland,MD,,Centennial Conference,D3
McDaniel College,Green Terror,Westminster,Maryland,MD,,Centennial Conference,D3
Notre Dame of Maryland University,Gators,Baltimore,Maryland,MD,,Colonial States Athletic Conference,D3
St. Mary's College of Maryland,Seahawks,St. Mary's City,Maryland,MD,,Capital Athletic Conference,D3
Salisbury University,Sea Gulls,Salisbury,Maryland,MD,,Capital Athletic Conference,D3
Stevenson University,Mustangs,Stevenson,Maryland,MD,,MAC Commonwealth Conference,D3
Washington College,Shoremen,Chestertown,Maryland,MD,,Centennial Conference,D3
Washington Adventist University,Shock,Takoma Park,Maryland,MD,,Association of Independent Institutions,NAIA II
Boston College,Eagles,Chestnut Hill,Massachusetts,MS,Private/Catholic,Atlantic Coast Conference,D1
Boston University,Terriers,Boston,Massachusetts,MS,Private/Non-sectarian,Patriot League,D1
Harvard University,Crimson,Cambridge[A 8],Massachusetts,MS,Private/Non-sectarian,Ivy League,D1
College of the Holy Cross,Crusaders,Worcester,Massachusetts,MS,Private/Catholic,Patriot League,D1
University of Massachusetts Amherst,Minutemen and Minutewomen[A 13],Amherst,Massachusetts,MS,State,Atlantic 10 Conference,D1
Northeastern University,Huskies,Boston,Massachusetts,MS,Private/Non-Sectarian,Colonial Athletic Association,D1
American International College,Yellow Jackets,Springfield,Massachusetts,MS,,Northeast-10 Conference,D2
Assumption College,Greyhounds,Worcester,Massachusetts,MS,,Northeast-10 Conference,D2
Bentley University,Falcons,Waltham,Massachusetts,MS,,Northeast-10 Conference,D2
Merrimack College,Warriors,North Andover,Massachusetts,MS,,Northeast-10 Conference,D2
Stonehill College,Skyhawks,Easton,Massachusetts,MS,,Northeast-10 Conference,D2
Amherst College,Mammoths,Amherst,Massachusetts,MS,,New England Small College Athletic Conference,D3
Anna Maria College,AMCATS,Paxton,Massachusetts,MS,,Great Northeast Athletic Conference,D3
Babson College,Beavers,Wellesley,Massachusetts,MS,,New England Women's and Men's Athletic Conference,D3
Bay Path University,Wildcats,Longmeadow,Massachusetts,MS,,New England Collegiate Conference,D3
Becker College,Hawks,Worcester/Leicester,Massachusetts,MS,,New England Collegiate Conference,D3
Brandeis University,Judges,Waltham,Massachusetts,MS,,University Athletic Association,D3
Bridgewater State University,Bears,Bridgewater,Massachusetts,MS,,Massachusetts State Collegiate Athletic Conference,D3
Clark University,Cougars,Worcester,Massachusetts,MS,,New England Women's and Men's Athletic Conference,D3
Curry College,Colonels,Milton,Massachusetts,MS,,The Commonwealth Coast Conference,D3
Eastern Nazarene College,Lions,Quincy,Massachusetts,MS,,The Commonwealth Coast Conference,D3
Elms College,Blazers,Chicopee,Massachusetts,MS,,New England Collegiate Conference,D3
Emerson College,Lions,Boston,Massachusetts,MS,,New England Women's and Men's Athletic Conference,D3
Emmanuel College,Saints,Boston,Massachusetts,MS,,Great Northeast Athletic Conference,D3
Endicott College,Gulls,Beverly,Massachusetts,MS,,The Commonwealth Coast Conference,D3
Fitchburg State University,Falcons,Fitchburg,Massachusetts,MS,,Massachusetts State Collegiate Athletic Conference,D3
Framingham State University,Rams,Framingham,Massachusetts,MS,,Massachusetts State Collegiate Athletic Conference,D3
Gordon College,Fighting Scots,Wenham,Massachusetts,MS,,The Commonwealth Coast Conference,D3
Lasell College,Lasers,Newton,Massachusetts,MS,,Great Northeast Athletic Conference,D3
Lesley University,Lynx,Boston,Massachusetts,MS,,New England Collegiate Conference,D3
University of Massachusetts Boston,Beacons,Boston,Massachusetts,MS,,Little East Conference,D3
Massachusetts College of Liberal Arts,Trailblazers,North Adams,Massachusetts,MS,,Massachusetts State Collegiate Athletic Conference,D3
University of Massachusetts Dartmouth,Corsairs,Dartmouth,Massachusetts,MS,,Little East Conference,D3
Massachusetts Institute of Technology[A 11],Engineers,Cambridge,Massachusetts,MS,,New England Women's and Men's Athletic Conference,D3
Massachusetts Maritime Academy,Buccaneers,Buzzards Bay,Massachusetts,MS,,Massachusetts State Collegiate Athletic Conference,D3
Mount Holyoke College,Lyons,South Hadley,Massachusetts,MS,,New England Women's and Men's Athletic Conference,D3
Mount Ida College,Mustangs,Newton,Massachusetts,MS,,Great Northeast Athletic Conference,D3
Newbury College,Nighthawks,Brookline,Massachusetts,MS,,New England Collegiate Conference,D3
Nichols College,Bison,Dudley,Massachusetts,MS,,The Commonwealth Coast Conference,D3
Pine Manor College,Gators,Chestnut Hill,Massachusetts,MS,,Independent,D3
Regis College,Pride,Weston,Massachusetts,MS,,New England Collegiate Conference,D3
Salem State University,Vikings,Salem,Massachusetts,MS,,Massachusetts State Collegiate Athletic Conference,D3
Simmons College,Sharks,Boston,Massachusetts,MS,,Great Northeast Athletic Conference,D3
Smith College,Pioneers,Northampton,Massachusetts,MS,,New England Women's and Men's Athletic Conference,D3
Springfield College,Pride,Springfield,Massachusetts,MS,,New England Women's and Men's Athletic Conference,D3
Suffolk University,Rams,Boston,Massachusetts,MS,,Great Northeast Athletic Conference,D3
Tufts University,Jumbos,Medford,Massachusetts,MS,,New England Small College Athletic Conference,D3
Wellesley College,Blue,Wellesley,Massachusetts,MS,,New England Women's and Men's Athletic Conference,D3
Wentworth Institute of Technology,Leopards,Boston,Massachusetts,MS,,The Commonwealth Coast Conference,D3
Western New England University,Golden Bears,Springfield,Massachusetts,MS,,The Commonwealth Coast Conference,D3
Westfield State University,Owls,Westfield,Massachusetts,MS,,Massachusetts State Collegiate Athletic Conference,D3
Wheaton College,Lyons,Norton,Massachusetts,MS,,New England Women's and Men's Athletic Conference,D3
Wheelock College,Wildcats,Boston,Massachusetts,MS,,New England Collegiate Conference,D3
Williams College,Ephs,Williamstown,Massachusetts,MS,,New England Small College Athletic Conference,D3
Worcester Polytechnic Institute,Engineers,Worcester,Massachusetts,MS,,New England Women's and Men's Athletic Conference,D3
Worcester State University,Lancers,Worcester,Massachusetts,MS,,Massachusetts State Collegiate Athletic Conference,D3
Fisher College,Falcons,Boston,Massachusetts,MS,,Association of Independent Institutions,NAIA II
Central Michigan University,Chippewas,Mount Pleasant,Michigan,MI,State,Mid-American Conference,D1
University of Detroit Mercy,Titans,Detroit,Michigan,MI,Private/Catholic,Horizon League,D1
Eastern Michigan University,Eagles,Ypsilanti,Michigan,MI,State,Mid-American Conference,D1
University of Michigan,Wolverines,Ann Arbor,Michigan,MI,State,Big Ten Conference,D1
Michigan State University,Spartans,East Lansing,Michigan,MI,State,Big Ten Conference,D1
Oakland University,Golden Grizzlies,Rochester,Michigan,MI,State,Horizon League,D1
Western Michigan University,Broncos,Kalamazoo,Michigan,MI,State,Mid-American Conference,D1
Ferris State University,Bulldogs,Big Rapids,Michigan,MI,,Great Lakes Intercollegiate Athletic Conference,D2
Grand Valley State University,Lakers,Allendale,Michigan,MI,,Great Lakes Intercollegiate Athletic Conference,D2
Hillsdale College,Chargers,Hillsdale,Michigan,MI,,Great Lakes Intercollegiate Athletic Conference,D2
Lake Superior State University,Lakers,Sault Ste. Marie,Michigan,MI,,Great Lakes Intercollegiate Athletic Conference,D2
Michigan Technological University,Huskies,Houghton,Michigan,MI,,Great Lakes Intercollegiate Athletic Conference,D2
Northern Michigan University,Wildcats,Marquette,Michigan,MI,,Great Lakes Intercollegiate Athletic Conference,D2
Northwood University,Timberwolves,Midland,Michigan,MI,,Great Lakes Intercollegiate Athletic Conference,D2
Saginaw Valley State University,Cardinals,University Center,Michigan,MI,,Great Lakes Intercollegiate Athletic Conference,D2
Wayne State University,Warriors,Detroit,Michigan,MI,,Great Lakes Intercollegiate Athletic Conference,D2
Adrian College,Bulldogs,Adrian,Michigan,MI,,Michigan Intercollegiate Athletic Association,D3
Albion College,Britons,Albion,Michigan,MI,,Michigan Intercollegiate Athletic Association,D3
Alma College,Scots,Alma,Michigan,MI,,Michigan Intercollegiate Athletic Association,D3
Calvin College,Knights,Grand Rapids,Michigan,MI,,Michigan Intercollegiate Athletic Association,D3
Finlandia University,Lions,Hancock,Michigan,MI,,Independent,D3
Hope College,Flying Dutchmen,Holland,Michigan,MI,,Michigan Intercollegiate Athletic Association,D3
Kalamazoo College,Hornets,Kalamazoo,Michigan,MI,,Michigan Intercollegiate Athletic Association,D3
Olivet College,Comets,Olivet,Michigan,MI,,Michigan Intercollegiate Athletic Association,D3
Aquinas College,Saints,Grand Rapids,Michigan,MI,,Wolverine–Hoosier Athletic Conference,NAIA II
Concordia University–Michigan,Cardinals,Ann Arbor,Michigan,MI,,Wolverine–Hoosier Athletic Conference,NAIA II
Cornerstone University,Golden Eagles,Grand Rapids,Michigan,MI,,Wolverine–Hoosier Athletic Conference,NAIA II
Davenport University,Panthers,Grand Rapids,Michigan,MI,,Wolverine–Hoosier Athletic Conference,NAIA II
Lawrence Technological University,Blue Devils,Southfield,Michigan,MI,,Wolverine–Hoosier Athletic Conference,NAIA II
Madonna University,Crusaders,Livonia,Michigan,MI,,Wolverine–Hoosier Athletic Conference,NAIA II
Marygrove College,Mustangs,Detroit,Michigan,MI,,Wolverine–Hoosier Athletic Conference,NAIA II
University of Michigan–Dearborn,Wolverines,Dearborn,Michigan,MI,,Wolverine–Hoosier Athletic Conference,NAIA II
Rochester College,Warriors,Rochester,Michigan,MI,,Association of Independent Institutions,NAIA II
Siena Heights University,Saints,Adrian,Michigan,MI,,Wolverine–Hoosier Athletic Conference,NAIA II
Spring Arbor University,Cougars,Spring Arbor,Michigan,MI,,Crossroads League,NAIA II
University of Minnesota,Golden Gophers,Minneapolis–Saint Paul,Minnesota,MN,State,Big Ten Conference,D1
Bemidji State University,Beavers,Bemidji,Minnesota,MN,,Northern Sun Intercollegiate Conference,D2
Concordia University–St. Paul,Golden Bears,St. Paul,Minnesota,MN,,Northern Sun Intercollegiate Conference,D2
"Minnesota State University, Mankato",Mavericks,Mankato,Minnesota,MN,,Northern Sun Intercollegiate Conference,D2
Minnesota State University Moorhead,Dragons,Moorhead,Minnesota,MN,,Northern Sun Intercollegiate Conference,D2
University of Minnesota Crookston,Golden Eagles,Crookston,Minnesota,MN,,Northern Sun Intercollegiate Conference,D2
University of Minnesota Duluth,Bulldogs,Duluth,Minnesota,MN,,Northern Sun Intercollegiate Conference,D2
St. Cloud State University,Huskies,St. Cloud,Minnesota,MN,,Northern Sun Intercollegiate Conference,D2
Southwest Minnesota State University,Mustangs,Marshall,Minnesota,MN,,Northern Sun Intercollegiate Conference,D2
Winona State University,Warriors,Winona,Minnesota,MN,,Northern Sun Intercollegiate Conference,D2
Augsburg College,Auggies,Minneapolis,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
Bethany Lutheran College,Vikings,Mankato,Minnesota,MN,,Upper Midwest Athletic Conference,D3
Bethel University,Royals,Arden Hills,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
Carleton College,Knights,Northfield,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
Concordia College,Cobbers,Moorhead,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
Crown College,Storm,St. Bonifacius,Minnesota,MN,,Upper Midwest Athletic Conference,D3
Gustavus Adolphus College,Gusties,St. Peter,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
Hamline University,Pipers,St. Paul,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
Macalester College,Scots,St. Paul,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
Martin Luther College,Knights,New Ulm,Minnesota,MN,,Upper Midwest Athletic Conference,D3
University of Minnesota Morris,Cougars,Morris,Minnesota,MN,,Upper Midwest Athletic Conference,D3
North Central University,Rams,Minneapolis,Minnesota,MN,,Upper Midwest Athletic Conference,D3
University of Northwestern – St. Paul,Eagles,Roseville,Minnesota,MN,,Upper Midwest Athletic Conference,D3
College of Saint Benedict,Blazers,St. Joseph,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
St. Catherine University,Wildcats,St. Paul,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
Saint John's University,Johnnies,Collegeville,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
Saint Mary's University of Minnesota,Cardinals,Winona,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
